closed_date;type;open_date;:LABEL;:ID
;Furto in Casa;2022-08-03T00:28:17.796405;Claim;42500
;Furto in Casa;2022-10-27T00:29:08.796491;Claim;42503
;Incendio doloso Auto;2022-04-21T00:26:46.797415;Claim;42506
;Furto in Casa;2022-03-13T00:25:04.797480;Claim;42509
;Furto in Casa;2022-09-20T00:29:47.797517;Claim;42512
2022-08-14T00:32:08.798656;Furto Auto;2022-08-09T00:25:05.798656;Claim;42515
2022-06-12T00:33:51.798748;Furto in Casa;2022-06-07T00:27:40.798748;Claim;42518
;Furto Auto;2022-08-20T00:25:17.798803;Claim;42521
;Incidente Auto;2022-02-10T00:28:40.798847;Claim;42524
2022-06-01T00:34:25.799698;Incendio doloso Casa;2022-05-27T00:26:39.799698;Claim;42527
;Furto in Casa;2022-04-24T00:24:55.799811;Claim;42530
2022-07-26T00:32:57.799900;Furto in Casa;2022-07-21T00:26:51.799900;Claim;42533
2022-03-09T00:39:15.799947;Incidente Auto;2022-03-04T00:30:21.799947;Claim;42536
2022-12-24T00:36:16.799989;Incidente Auto;2022-12-19T00:28:35.799989;Claim;42539
;Incidente Auto;2022-02-01T00:26:23.801294;Claim;42542
2022-07-28T00:35:37.801351;Furto Auto;2022-07-23T00:26:07.801351;Claim;42545
;Incidente Auto;2022-12-13T00:29:43.801395;Claim;42548
2022-08-16T00:37:17.801437;Incendio doloso Auto;2022-08-11T00:26:28.801437;Claim;42551
;Incendio doloso Casa;2022-08-16T00:29:02.801478;Claim;42554
2022-09-30T00:37:09.801519;Incendio doloso Auto;2022-09-25T00:26:59.801519;Claim;42557
;Incendio doloso Auto;2022-03-02T00:27:20.802597;Claim;42560
;Furto Auto;2022-03-21T00:26:33.802658;Claim;42563
2022-10-03T00:34:04.802702;Furto in Casa;2022-09-28T00:25:09.802702;Claim;42566
;Furto Auto;2022-06-05T00:29:13.802744;Claim;42569
2023-01-18T00:34:26.802784;Incidente Auto;2023-01-13T00:28:15.802784;Claim;42572
2022-12-16T00:33:11.802824;Furto in Casa;2022-12-11T00:26:05.802824;Claim;42575
;Incendio doloso Casa;2022-10-18T00:27:08.802864;Claim;42578
2022-09-28T00:38:42.804086;Incendio doloso Auto;2022-09-23T00:29:48.804086;Claim;42581
2022-04-22T00:33:13.804152;Incidente Auto;2022-04-17T00:25:56.804152;Claim;42584
;Furto Auto;2022-02-20T00:25:18.804198;Claim;42587
2022-10-15T00:31:40.804240;Furto Auto;2022-10-10T00:25:29.804240;Claim;42590
;Incendio doloso Auto;2022-03-31T00:27:17.804283;Claim;42593
2022-09-28T00:35:04.804324;Incidente Auto;2022-09-23T00:29:44.804324;Claim;42596
2022-09-22T00:33:42.804365;Incendio doloso Auto;2022-09-17T00:25:29.804365;Claim;42599
;Incendio doloso Casa;2022-11-19T00:26:46.804407;Claim;42602
2022-07-29T00:35:27.805895;Incidente Auto;2022-07-24T00:25:16.805895;Claim;42605
2022-03-23T00:39:06.805968;Incendio doloso Auto;2022-03-18T00:30:26.805968;Claim;42608
;Incidente Auto;2022-12-29T00:24:43.806007;Claim;42611
2022-08-05T00:38:49.806043;Incidente Auto;2022-07-31T00:28:14.806043;Claim;42614
;Furto Auto;2022-10-08T00:26:52.806077;Claim;42617
