closed_date;type;:LABEL;open_date;:ID
2022-10-19T21:13:42.362021;Furto Auto;Claim;2022-10-14T21:06:48.362021;105
;Incidente Auto;Claim;2022-09-02T21:04:04.362021;108
2022-08-31T21:13:12.363022;Incidente Auto;Claim;2022-08-26T21:05:08.363022;111
;Incendio doloso Auto;Claim;2022-01-24T21:03:15.363022;114
2022-02-26T21:16:13.363022;Incendio doloso Casa;Claim;2022-02-21T21:06:48.363022;117
2022-10-15T21:12:23.364023;Incendio doloso Auto;Claim;2022-10-10T21:03:32.364023;120
;Furto Auto;Claim;2023-01-05T21:07:44.364023;123
;Incendio doloso Casa;Claim;2022-02-25T21:06:05.364023;126
2022-03-23T21:13:15.364023;Furto in Casa;Claim;2022-03-18T21:06:18.364023;129
2022-02-12T21:15:25.365608;Incidente Auto;Claim;2022-02-07T21:04:55.365608;132
;Incendio doloso Casa;Claim;2022-05-16T21:06:16.366537;135
2022-08-03T21:11:35.366537;Furto in Casa;Claim;2022-07-29T21:04:50.366537;138
;Incendio doloso Auto;Claim;2022-07-26T21:08:44.366537;141
;Furto in Casa;Claim;2022-02-10T21:03:12.366537;144
;Furto Auto;Claim;2022-03-02T21:06:49.367538;147
;Furto in Casa;Claim;2022-08-07T21:03:34.367538;150
;Furto Auto;Claim;2022-03-07T21:05:48.367538;153
;Incendio doloso Casa;Claim;2022-12-15T21:04:24.367538;156
;Furto Auto;Claim;2022-07-10T21:07:13.367538;159
;Incendio doloso Auto;Claim;2022-01-28T21:03:15.367538;162
;Incendio doloso Auto;Claim;2023-01-03T21:03:52.369537;165
;Furto in Casa;Claim;2022-04-27T21:08:57.369537;168
2022-06-16T21:16:47.369537;Furto Auto;Claim;2022-06-11T21:06:59.369537;171
;Incendio doloso Auto;Claim;2022-12-14T21:08:17.369537;174
;Furto in Casa;Claim;2022-06-20T21:08:22.369537;177
;Incidente Auto;Claim;2022-10-03T21:08:42.370538;179
;Furto Auto;Claim;2022-08-04T21:07:25.370538;181
;Furto Auto;Claim;2023-01-05T21:04:15.371542;183
2022-10-09T21:12:31.371542;Incidente Auto;Claim;2022-10-04T21:05:11.371542;184
;Incendio doloso Casa;Claim;2022-04-06T21:07:08.371542;185
