:LABEL;country;city;zip_code;:ID;street
Address;Italy;Livorno;15076;109;Vicolo Trussardi, 15 Piano 1
Address;Italy;Viterbo;30010;114;Borgo Michelotto, 215 Appartamento 1
Address;Italy;Medio Campidano;83043;119;Rotonda Graziano, 111
Address;Italy;Rieti;14053;124;Incrocio Azeglio, 36 Appartamento 9
Address;Italy;Terni;90122;129;Stretto Jacuzzi, 71 Appartamento 5
Address;Italy;Livorno;88833;134;Stretto Martina, 345 Piano 5
Address;Italy;Napoli;70042;139;Borgo Mastandrea, 94 Appartamento 5
Address;Italy;Modena;63068;144;Via Ermanno, 90
Address;Italy;Asti;88825;149;Via Aurora, 48 Appartamento 64
Address;Italy;Rimini;20129;154;Rotonda Torricelli, 693
Address;Italy;Verbano-Cusio-Ossola;63815;159;Piazza Vito, 23
Address;Italy;Viterbo;98066;163;Incrocio Federico, 3 Appartamento 5
Address;Italy;Cagliari;47900;167;Contrada Trevisan, 44
