:LABEL;:ID;type;open_date;closed_date
Claim;170;Incidente Auto;2022-08-12T21:07:02.951552;2022-08-17T21:15:06.951552
Claim;173;Furto Auto;2022-06-01T21:05:25.951552;2022-06-06T21:12:44.951552
Claim;176;Incidente Auto;2022-10-06T21:05:42.953555;2022-10-11T21:13:06.953555
Claim;179;Incendio doloso Auto;2022-08-29T21:07:36.953555;2022-09-03T21:15:52.953555
Claim;182;Incendio doloso Auto;2022-11-27T21:10:41.953555;2022-12-02T21:21:20.953555
Claim;185;Furto in Casa;2022-02-17T21:07:55.954553;
Claim;188;Furto in Casa;2022-03-29T21:06:32.954553;2022-04-03T21:13:15.954553
Claim;191;Incendio doloso Casa;2022-04-12T21:10:38.954553;
Claim;194;Furto in Casa;2022-03-27T21:07:16.954553;
Claim;197;Furto Auto;2022-12-18T21:07:44.955558;2022-12-23T21:16:53.955558
Claim;200;Incendio doloso Auto;2022-10-22T21:08:35.956654;
Claim;203;Incendio doloso Casa;2022-07-09T21:06:56.956654;2022-07-14T21:13:41.956654
Claim;206;Incendio doloso Auto;2022-11-29T21:08:34.956654;2022-12-04T21:14:39.956654
Claim;209;Furto Auto;2022-08-25T21:08:51.956654;
Claim;212;Furto in Casa;2022-06-19T21:09:46.957653;
Claim;214;Furto Auto;2022-10-23T21:09:59.957653;
Claim;215;Incendio doloso Casa;2022-03-29T21:09:09.957653;
Claim;216;Incidente Auto;2022-07-24T21:08:22.958652;2022-07-29T21:15:08.958652
