:LABEL;:ID;type;open_date;closed_date
Claim;77;Furto Auto;2022-10-17T21:08:40.813394;2022-10-22T21:14:50.813394
Claim;80;Incendio doloso Casa;2022-07-18T21:07:06.813394;
Claim;83;Incidente Auto;2022-10-22T21:09:33.814501;2022-10-27T21:20:07.814501
Claim;86;Incendio doloso Casa;2022-10-07T21:06:35.814501;2022-10-12T21:16:00.814501
Claim;89;Furto in Casa;2022-08-20T21:07:43.814501;2022-08-25T21:14:34.814501
Claim;92;Furto Auto;2022-07-12T21:06:22.815500;
Claim;95;Furto Auto;2022-11-16T21:07:15.815500;
Claim;98;Incendio doloso Auto;2023-01-16T21:07:43.815500;
Claim;101;Furto Auto;2022-04-11T21:10:23.815500;2022-04-16T21:15:41.815500
Claim;104;Incendio doloso Auto;2022-05-21T21:10:38.817946;
Claim;106;Furto in Casa;2022-05-03T21:08:11.817946;
Claim;107;Incendio doloso Auto;2022-07-15T21:08:42.817946;
