:ID;:LABEL;type;open_date
200057;Claim;Incendio doloso Casa;2022-08-03T13:42:42.327244
200066;Claim;Incendio doloso Casa;2022-11-23T13:37:14.328244
200072;Claim;Incendio doloso Auto;2022-09-07T13:40:10.328244
200078;Claim;Incendio doloso Casa;2022-10-07T13:41:34.329247
200081;Claim;Furto in Casa;2022-05-15T13:37:44.329247
200087;Claim;Incidente Auto;2022-10-30T13:37:23.329247
200099;Claim;Incidente Auto;2022-03-02T13:40:46.330243
200117;Claim;Incidente Auto;2022-02-03T13:39:11.331244
200123;Claim;Incendio doloso Casa;2022-05-09T13:42:07.331244
200126;Claim;Incidente Auto;2022-01-28T13:40:30.331244
200129;Claim;Incidente Auto;2022-01-30T13:40:14.331244
200135;Claim;Incidente Auto;2022-08-28T13:42:04.332246
200141;Claim;Incidente Auto;2022-04-19T13:42:10.332246
200144;Claim;Incendio doloso Auto;2022-02-14T13:40:15.332246
200150;Claim;Incendio doloso Casa;2022-09-11T13:42:10.333247
200153;Claim;Incendio doloso Casa;2022-05-17T13:40:45.333247
200168;Claim;Incidente Auto;2022-01-25T13:38:08.334245
200174;Claim;Incendio doloso Auto;2022-06-16T13:40:44.334245
200186;Claim;Incendio doloso Casa;2022-05-19T13:41:09.336244
200213;Claim;Incendio doloso Casa;2022-11-09T13:37:59.350248
200216;Claim;Furto Auto;2022-11-26T13:42:12.350248
200225;Claim;Furto Auto;2022-04-25T13:38:44.350248
200234;Claim;Incendio doloso Casa;2022-08-15T13:42:46.350248
200240;Claim;Incendio doloso Casa;2022-03-06T13:42:28.350248
200249;Claim;Furto in Casa;2022-10-26T13:38:20.350248
200252;Claim;Incidente Auto;2022-07-19T13:38:04.350248
200255;Claim;Incendio doloso Casa;2022-06-27T13:39:21.350248
200261;Claim;Incidente Auto;2022-06-21T13:41:37.350248
200264;Claim;Incendio doloso Auto;2022-12-24T13:40:31.351247
200267;Claim;Furto in Casa;2022-05-17T13:40:11.351247
200273;Claim;Incidente Auto;2023-01-11T13:37:37.351247
200276;Claim;Furto Auto;2022-03-16T13:40:48.351247
200279;Claim;Incendio doloso Casa;2022-04-05T13:37:01.351247
200285;Claim;Incendio doloso Auto;2022-10-20T13:38:30.351247
200291;Claim;Incendio doloso Casa;2022-10-14T13:38:12.351247
200294;Claim;Furto in Casa;2022-08-30T13:39:11.351247
200300;Claim;Incidente Auto;2022-07-22T13:39:44.351247
200306;Claim;Incendio doloso Auto;2022-02-01T13:39:40.351247
200309;Claim;Furto Auto;2022-09-24T13:41:10.351247
200315;Claim;Furto Auto;2022-10-18T13:39:05.351247
200318;Claim;Incidente Auto;2022-08-23T13:40:47.351247
200324;Claim;Incendio doloso Casa;2022-10-22T13:37:04.351247
200330;Claim;Incendio doloso Auto;2022-06-01T13:38:40.352245
200333;Claim;Incendio doloso Auto;2023-01-19T13:41:37.352245
200339;Claim;Incendio doloso Auto;2022-03-23T13:37:24.352245
200342;Claim;Furto in Casa;2022-05-08T13:41:08.352245
200348;Claim;Incendio doloso Auto;2022-04-22T13:41:04.352245
200354;Claim;Incendio doloso Auto;2022-08-01T13:41:31.352245
200360;Claim;Incendio doloso Casa;2022-02-09T13:39:05.352245
200366;Claim;Incendio doloso Casa;2022-03-21T13:39:54.352245
200375;Claim;Furto in Casa;2022-09-28T13:40:07.352245
200387;Claim;Incidente Auto;2022-12-30T13:42:44.352245
200399;Claim;Incidente Auto;2022-04-06T13:37:15.353246
200402;Claim;Incendio doloso Auto;2022-06-19T13:38:48.353246
200405;Claim;Furto Auto;2022-04-27T13:41:35.353246
200408;Claim;Incidente Auto;2023-01-02T13:40:13.353246
200411;Claim;Incidente Auto;2022-04-15T13:40:57.353246
200414;Claim;Incidente Auto;2022-09-21T13:42:00.353246
200417;Claim;Incendio doloso Auto;2022-03-09T13:42:41.353246
200420;Claim;Furto Auto;2022-12-12T13:37:13.353246
200429;Claim;Furto Auto;2022-03-16T13:41:36.353246
200444;Claim;Incendio doloso Casa;2022-10-03T13:37:59.353246
200453;Claim;Incendio doloso Casa;2022-04-21T13:39:29.353246
200456;Claim;Incidente Auto;2022-06-29T13:38:37.353246
200459;Claim;Furto Auto;2022-04-23T13:39:53.354246
200462;Claim;Incendio doloso Auto;2022-07-26T13:38:31.354246
