closed_date;type;open_date;:LABEL;:ID
;Incidente Auto;2022-04-25T00:36:05.997342;Claim;619400
;Furto in Casa;2022-03-01T00:37:55.997420;Claim;619403
2022-09-10T00:43:36.998356;Incendio doloso Casa;2022-09-05T00:37:28.998356;Claim;619406
;Furto Auto;2022-04-27T00:37:01.998452;Claim;619409
2022-08-17T00:46:02.998494;Incendio doloso Casa;2022-08-12T00:35:26.998494;Claim;619412
;Incendio doloso Auto;2022-06-22T00:40:05.999683;Claim;619415
;Incidente Auto;2022-12-26T00:36:36.999752;Claim;619418
;Furto in Casa;2022-06-15T00:40:26.999796;Claim;619421
2022-03-11T00:46:58.999837;Furto in Casa;2022-03-06T00:39:43.999837;Claim;619424
2022-08-27T00:43:05.000919;Incendio doloso Casa;2022-08-22T00:35:32.000919;Claim;619427
2022-06-17T00:48:13.000981;Furto in Casa;2022-06-12T00:37:51.000981;Claim;619430
;Incendio doloso Auto;2022-08-11T00:38:19.001021;Claim;619433
;Incendio doloso Auto;2022-01-30T00:36:09.001056;Claim;619436
;Incendio doloso Auto;2023-01-24T00:38:11.001092;Claim;619439
;Incendio doloso Auto;2022-12-14T00:37:05.002253;Claim;619442
;Furto Auto;2022-02-03T00:37:18.002307;Claim;619445
;Incidente Auto;2022-12-30T00:37:28.002346;Claim;619448
2022-07-16T00:48:00.002382;Incidente Auto;2022-07-11T00:39:54.002382;Claim;619451
2022-03-10T00:47:39.002419;Incendio doloso Casa;2022-03-05T00:39:38.002419;Claim;619454
;Incendio doloso Auto;2022-08-16T00:37:38.002472;Claim;619457
;Incendio doloso Casa;2022-10-23T00:40:38.003684;Claim;619460
;Furto in Casa;2022-05-29T00:36:34.003750;Claim;619463
;Incidente Auto;2022-07-15T00:34:59.003786;Claim;619466
2022-04-01T00:46:58.003819;Incidente Auto;2022-03-27T00:37:21.003819;Claim;619469
;Incendio doloso Casa;2022-09-30T00:36:06.003852;Claim;619472
;Furto in Casa;2022-09-26T00:38:00.003885;Claim;619475
2022-06-16T00:46:11.003917;Incidente Auto;2022-06-11T00:35:26.003917;Claim;619478
;Furto Auto;2022-07-25T00:37:33.005067;Claim;619481
2022-10-10T00:43:43.005121;Furto Auto;2022-10-05T00:35:45.005121;Claim;619484
;Incendio doloso Auto;2023-01-19T00:37:00.005155;Claim;619487
;Furto in Casa;2022-09-30T00:36:38.005188;Claim;619490
2022-02-20T00:49:18.005221;Furto Auto;2022-02-15T00:38:20.005221;Claim;619493
;Furto Auto;2022-09-01T00:35:09.005253;Claim;619496
2022-12-31T00:47:12.005285;Incendio doloso Auto;2022-12-26T00:38:20.005285;Claim;619499
;Incendio doloso Auto;2022-04-04T00:39:05.005318;Claim;619502
;Incidente Auto;2022-10-12T00:37:56.006554;Claim;619505
;Incendio doloso Auto;2022-04-16T00:38:21.006620;Claim;619508
2022-06-05T00:46:48.006665;Incidente Auto;2022-05-31T00:38:46.006665;Claim;619511
;Incidente Auto;2022-05-19T00:37:47.006708;Claim;619514
2022-04-03T00:46:53.006763;Furto in Casa;2022-03-29T00:40:03.006763;Claim;619517
2022-08-29T00:42:23.006806;Incendio doloso Casa;2022-08-24T00:35:03.006806;Claim;619520
;Incendio doloso Auto;2022-07-12T00:40:01.006847;Claim;619523
2022-03-20T00:42:35.006887;Incidente Auto;2022-03-15T00:35:13.006887;Claim;619526
2022-02-10T00:47:45.006927;Incidente Auto;2022-02-05T00:37:15.006927;Claim;619529
2022-12-13T00:48:00.008244;Furto Auto;2022-12-08T00:37:19.008244;Claim;619532
2022-08-05T00:45:40.008307;Incendio doloso Casa;2022-07-31T00:37:07.008307;Claim;619535
;Furto Auto;2022-02-28T00:37:40.008351;Claim;619538
;Furto in Casa;2022-10-15T00:39:10.008392;Claim;619541
;Furto Auto;2023-01-03T00:37:45.008432;Claim;619544
2022-11-07T00:46:34.008473;Incendio doloso Auto;2022-11-02T00:39:32.008473;Claim;619547
2022-09-23T00:46:38.008513;Incendio doloso Casa;2022-09-18T00:37:00.008513;Claim;619550
2022-11-13T00:46:57.008553;Furto Auto;2022-11-08T00:38:03.008553;Claim;619553
2022-04-06T00:47:44.008594;Furto in Casa;2022-04-01T00:39:08.008594;Claim;619556
;Furto in Casa;2022-11-20T00:37:43.008636;Claim;619559
;Furto in Casa;2022-06-23T00:39:10.014799;Claim;619562
;Incidente Auto;2022-08-24T00:39:44.014873;Claim;619565
;Incidente Auto;2022-08-13T00:39:59.014917;Claim;619568
