type;:LABEL;open_date;:ID;closed_date
Incendio doloso Auto;Claim;2023-01-08T20:34:30.657583;1545;2023-01-13T20:40:35.657583
Furto in Casa;Claim;2022-07-23T20:36:34.658584;1548;2022-07-28T20:43:53.658584
Furto Auto;Claim;2022-05-21T20:37:41.659586;1551;
Furto in Casa;Claim;2022-07-12T20:35:39.659586;1554;2022-07-17T20:43:18.659586
Incendio doloso Auto;Claim;2022-05-25T20:36:18.659586;1557;2022-05-30T20:46:40.659586
Incendio doloso Auto;Claim;2022-01-31T20:34:09.661095;1560;
Incidente Auto;Claim;2022-06-07T20:33:26.661095;1563;2022-06-12T20:40:00.661095
Incendio doloso Auto;Claim;2022-07-21T20:34:06.662104;1566;
Furto Auto;Claim;2022-05-04T20:36:14.662104;1569;2022-05-09T20:44:02.662104
Incendio doloso Casa;Claim;2022-03-03T20:36:50.663113;1572;
Incendio doloso Auto;Claim;2022-05-12T20:34:04.663113;1575;
Furto in Casa;Claim;2023-01-06T20:33:01.663113;1578;2023-01-11T20:43:26.663113
Incidente Auto;Claim;2022-07-20T20:36:22.663113;1581;
Incendio doloso Auto;Claim;2023-01-10T20:35:54.664111;1584;
Incendio doloso Auto;Claim;2022-06-16T20:33:11.665110;1587;
Incidente Auto;Claim;2022-12-07T20:32:33.666115;1590;
Incendio doloso Auto;Claim;2022-04-04T20:34:37.666115;1593;2022-04-09T20:44:33.666115
Furto Auto;Claim;2022-08-13T20:34:40.666115;1596;2022-08-18T20:42:35.666115
Furto in Casa;Claim;2022-12-26T20:34:45.666115;1599;
Incendio doloso Auto;Claim;2022-09-24T20:37:43.666115;1602;2022-09-29T20:44:39.666115
Incidente Auto;Claim;2023-01-08T20:37:56.668112;1605;
Incendio doloso Casa;Claim;2022-06-28T20:34:36.668112;1608;2022-07-03T20:41:09.668112
Incendio doloso Auto;Claim;2022-06-06T20:33:27.668112;1611;
Incendio doloso Auto;Claim;2022-10-23T20:38:01.668112;1614;2022-10-28T20:43:05.668112
Incendio doloso Auto;Claim;2022-05-15T20:36:41.668112;1617;
