closed_date;type;open_date;:LABEL;:ID
2022-06-29T00:38:19.488461;Incidente Auto;2022-06-24T00:31:21.488461;Claim;159900
2022-12-30T00:34:40.488537;Incendio doloso Casa;2022-12-25T00:26:53.488537;Claim;159903
;Furto Auto;2022-10-12T00:28:49.489255;Claim;159906
2022-08-22T00:36:02.489342;Incendio doloso Auto;2022-08-17T00:28:25.489342;Claim;159909
;Furto Auto;2022-10-18T00:30:32.489384;Claim;159912
2023-01-04T00:33:35.490568;Incidente Auto;2022-12-30T00:28:02.490568;Claim;159915
2022-08-15T00:36:14.490630;Incendio doloso Casa;2022-08-10T00:27:55.490630;Claim;159918
;Furto in Casa;2022-06-22T00:30:53.490672;Claim;159921
2022-07-21T00:34:01.490709;Incidente Auto;2022-07-16T00:28:34.490709;Claim;159924
2022-06-16T00:39:47.492261;Furto Auto;2022-06-11T00:30:00.492261;Claim;159927
2022-04-25T00:42:39.492316;Incidente Auto;2022-04-20T00:32:09.492316;Claim;159930
;Incendio doloso Auto;2022-02-05T00:32:41.492356;Claim;159933
2022-07-16T00:43:11.492392;Incidente Auto;2022-07-11T00:32:18.492392;Claim;159936
2022-10-02T00:34:56.492427;Incidente Auto;2022-09-27T00:28:18.492427;Claim;159939
2022-08-30T00:39:30.493528;Furto Auto;2022-08-25T00:32:06.493528;Claim;159942
;Incendio doloso Auto;2022-03-06T00:26:45.493585;Claim;159945
;Incidente Auto;2022-10-20T00:31:57.493624;Claim;159948
2022-12-13T00:37:29.493662;Incendio doloso Auto;2022-12-08T00:32:20.493662;Claim;159951
;Furto Auto;2022-03-15T00:32:09.493698;Claim;159954
2022-05-03T00:38:00.493734;Incendio doloso Casa;2022-04-28T00:31:08.493734;Claim;159957
2022-09-01T00:37:43.494813;Furto Auto;2022-08-27T00:28:33.494813;Claim;159960
;Incendio doloso Casa;2022-08-21T00:28:30.494872;Claim;159963
;Furto in Casa;2022-09-10T00:26:48.494913;Claim;159966
;Incendio doloso Casa;2022-03-10T00:29:30.494950;Claim;159969
;Incidente Auto;2022-01-27T00:32:16.494986;Claim;159972
;Furto in Casa;2022-10-14T00:29:56.495023;Claim;159975
;Incendio doloso Auto;2022-04-05T00:27:22.495058;Claim;159978
2023-01-26T00:43:06.496427;Incidente Auto;2023-01-21T00:32:31.496427;Claim;159981
2022-10-17T00:34:44.496503;Incendio doloso Auto;2022-10-12T00:29:37.496503;Claim;159984
2022-03-04T00:33:41.496541;Incidente Auto;2022-02-27T00:27:42.496541;Claim;159987
2022-04-08T00:43:27.496577;Incendio doloso Casa;2022-04-03T00:32:42.496577;Claim;159990
;Incendio doloso Casa;2022-09-23T00:27:14.496612;Claim;159993
;Incendio doloso Auto;2022-10-04T00:31:35.496647;Claim;159996
2022-02-25T00:34:53.496683;Furto in Casa;2022-02-20T00:29:05.496683;Claim;159999
2022-05-30T00:37:09.496718;Incendio doloso Casa;2022-05-25T00:26:48.496718;Claim;160002
;Furto in Casa;2022-12-18T00:32:11.498031;Claim;160005
;Incendio doloso Auto;2022-06-19T00:30:37.498095;Claim;160008
2022-07-22T00:39:22.498132;Incendio doloso Casa;2022-07-17T00:29:29.498132;Claim;160011
2022-04-16T00:43:07.498168;Furto in Casa;2022-04-11T00:32:34.498168;Claim;160014
2022-11-16T00:34:49.498203;Furto Auto;2022-11-11T00:27:46.498203;Claim;160017
2022-03-20T00:38:37.498238;Furto in Casa;2022-03-15T00:30:23.498238;Claim;160020
;Incidente Auto;2022-08-26T00:30:25.498273;Claim;160023
2022-02-24T00:37:04.498308;Incendio doloso Casa;2022-02-19T00:31:08.498308;Claim;160026
;Incendio doloso Casa;2022-06-03T00:27:34.498342;Claim;160029
;Incendio doloso Auto;2023-01-10T00:29:12.499563;Claim;160032
2022-12-07T00:35:19.499645;Incendio doloso Casa;2022-12-02T00:29:17.499645;Claim;160035
;Incendio doloso Auto;2022-08-05T00:28:56.499687;Claim;160038
2022-11-07T00:40:11.499725;Furto Auto;2022-11-02T00:30:03.499725;Claim;160041
2022-11-14T00:39:04.499762;Incendio doloso Casa;2022-11-09T00:30:39.499762;Claim;160044
;Furto in Casa;2022-10-07T00:31:17.499798;Claim;160047
;Incendio doloso Auto;2022-07-14T00:26:54.499836;Claim;160050
;Incendio doloso Auto;2022-07-30T00:28:47.499873;Claim;160053
;Furto in Casa;2022-06-13T00:29:28.499910;Claim;160056
;Furto in Casa;2022-03-26T00:30:21.499948;Claim;160059
