closed_date;type;open_date;:LABEL;:ID
;Incidente Auto;2022-07-14T00:30:39.130815;Claim;352200
2023-01-17T00:37:02.130883;Incidente Auto;2023-01-12T00:31:06.130883;Claim;352203
2022-04-06T00:40:12.131650;Furto Auto;2022-04-01T00:33:03.131650;Claim;352206
;Incendio doloso Auto;2022-09-01T00:31:52.131713;Claim;352209
2022-12-30T00:45:04.131759;Incendio doloso Auto;2022-12-25T00:34:53.131759;Claim;352212
2023-01-24T00:41:20.132884;Furto Auto;2023-01-19T00:33:04.132884;Claim;352215
2022-12-21T00:42:14.132950;Incendio doloso Auto;2022-12-16T00:34:39.132950;Claim;352218
;Incendio doloso Auto;2022-05-04T00:34:46.132998;Claim;352221
;Furto in Casa;2022-05-29T00:33:22.133042;Claim;352224
;Incendio doloso Auto;2023-01-19T00:32:55.134608;Claim;352227
;Furto Auto;2022-03-08T00:34:43.134686;Claim;352230
2022-09-13T00:37:41.134726;Furto Auto;2022-09-08T00:31:14.134726;Claim;352233
2022-04-14T00:42:51.134765;Furto Auto;2022-04-09T00:32:54.134765;Claim;352236
;Incendio doloso Auto;2022-08-26T00:30:59.134803;Claim;352239
;Furto in Casa;2022-06-08T00:33:01.135953;Claim;352242
2022-09-08T00:46:33.136078;Incidente Auto;2022-09-03T00:35:52.136078;Claim;352245
2023-01-05T00:41:12.136139;Incidente Auto;2022-12-31T00:31:49.136139;Claim;352248
;Incendio doloso Auto;2022-08-19T00:30:52.136185;Claim;352251
;Incendio doloso Casa;2022-07-11T00:34:34.136238;Claim;352254
;Furto Auto;2022-05-25T00:34:03.136302;Claim;352257
;Incidente Auto;2022-11-10T00:32:34.137804;Claim;352260
;Incendio doloso Auto;2022-12-17T00:33:00.137867;Claim;352263
2022-07-29T00:38:48.137904;Furto Auto;2022-07-24T00:30:26.137904;Claim;352266
;Furto Auto;2022-03-25T00:34:51.137947;Claim;352269
;Furto Auto;2022-09-30T00:32:50.137993;Claim;352272
2022-07-09T00:39:35.138027;Furto in Casa;2022-07-04T00:33:38.138027;Claim;352275
2022-09-09T00:41:28.138103;Incendio doloso Casa;2022-09-04T00:31:30.138103;Claim;352278
;Incidente Auto;2022-11-18T00:31:03.139652;Claim;352281
2023-01-04T00:40:44.139725;Incendio doloso Auto;2022-12-30T00:31:01.139725;Claim;352284
;Incendio doloso Auto;2022-02-04T00:33:44.139771;Claim;352287
2022-11-07T00:39:31.139815;Incidente Auto;2022-11-02T00:33:38.139815;Claim;352290
;Incidente Auto;2022-09-30T00:31:45.139858;Claim;352293
;Furto Auto;2022-03-16T00:32:56.139901;Claim;352296
2022-10-03T00:37:04.139944;Incendio doloso Auto;2022-09-28T00:31:42.139944;Claim;352299
2022-12-04T00:40:29.139987;Furto in Casa;2022-11-29T00:34:33.139987;Claim;352302
2022-03-01T00:39:33.141248;Furto in Casa;2022-02-24T00:33:58.141248;Claim;352305
;Incendio doloso Auto;2022-03-31T00:34:47.141317;Claim;352308
;Furto Auto;2022-09-24T00:31:03.141355;Claim;352311
;Incendio doloso Auto;2022-05-01T00:30:07.141391;Claim;352314
2022-12-24T00:38:55.141425;Furto in Casa;2022-12-19T00:32:19.141425;Claim;352317
;Incendio doloso Auto;2022-03-29T00:31:01.141460;Claim;352320
2022-09-17T00:38:57.141495;Incidente Auto;2022-09-12T00:32:32.141495;Claim;352323
2022-08-29T00:38:58.141530;Incendio doloso Casa;2022-08-24T00:33:02.141530;Claim;352326
2022-02-02T00:42:20.141565;Furto in Casa;2022-01-28T00:33:36.141565;Claim;352329
2022-11-19T00:40:42.143651;Incendio doloso Casa;2022-11-14T00:34:18.143651;Claim;352332
;Incidente Auto;2022-06-07T00:30:59.143737;Claim;352335
;Furto Auto;2022-06-26T00:31:37.143785;Claim;352338
;Furto in Casa;2022-05-24T00:33:43.143831;Claim;352341
;Furto Auto;2022-12-16T00:32:40.143886;Claim;352344
2022-10-19T00:39:22.143932;Incidente Auto;2022-10-14T00:32:10.143932;Claim;352347
;Incendio doloso Auto;2022-08-22T00:31:34.143976;Claim;352350
;Incendio doloso Auto;2022-12-05T00:33:16.144027;Claim;352353
;Furto Auto;2022-09-22T00:31:49.144071;Claim;352356
;Incendio doloso Casa;2022-10-21T00:33:21.144113;Claim;352359
2022-06-09T00:39:04.150362;Furto in Casa;2022-06-04T00:33:21.150362;Claim;352362
2022-07-15T00:35:48.150456;Furto in Casa;2022-07-10T00:30:33.150456;Claim;352365
2022-03-11T00:43:53.150504;Incidente Auto;2022-03-06T00:35:54.150504;Claim;352368
2022-12-16T00:42:20.150550;Furto Auto;2022-12-11T00:32:15.150550;Claim;352371
;Furto Auto;2022-10-12T00:32:11.150593;Claim;352374
2022-03-23T00:39:00.150637;Furto Auto;2022-03-18T00:32:51.150637;Claim;352377
;Incendio doloso Auto;2022-08-15T00:34:51.150682;Claim;352380
2022-11-04T00:40:14.150725;Furto in Casa;2022-10-30T00:33:34.150725;Claim;352383
;Furto Auto;2022-08-02T00:30:41.150768;Claim;352386
;Incendio doloso Auto;2022-05-03T00:34:32.150811;Claim;352389
;Furto in Casa;2022-02-08T00:33:39.150853;Claim;352392
;Incidente Auto;2023-01-23T00:31:07.150897;Claim;352395
;Furto Auto;2022-09-08T00:33:10.150939;Claim;352398
;Furto in Casa;2022-08-28T00:32:40.150982;Claim;352401
;Incendio doloso Auto;2022-06-10T00:34:43.151024;Claim;352404
;Furto in Casa;2022-02-20T00:30:56.151067;Claim;352407
;Incendio doloso Auto;2022-09-10T00:34:35.151110;Claim;352410
2022-05-20T00:43:07.151152;Incidente Auto;2022-05-15T00:34:20.151152;Claim;352413
;Furto in Casa;2022-04-22T00:33:43.151195;Claim;352416
2022-12-23T00:40:13.151237;Incendio doloso Casa;2022-12-18T00:34:21.151237;Claim;352419
2022-04-28T00:45:13.151280;Furto in Casa;2022-04-23T00:35:23.151280;Claim;352422
2022-06-13T00:43:22.151322;Incidente Auto;2022-06-08T00:34:04.151322;Claim;352425
;Incidente Auto;2022-09-01T00:33:29.151365;Claim;352428
;Furto in Casa;2023-01-15T00:35:10.151409;Claim;352431
2022-03-20T00:42:27.151451;Furto Auto;2022-03-15T00:34:12.151451;Claim;352434
;Incidente Auto;2022-06-03T00:30:16.151494;Claim;352437
;Furto Auto;2022-06-14T00:32:17.151536;Claim;352440
;Furto Auto;2022-03-06T00:30:50.151578;Claim;352443
;Furto Auto;2022-12-22T00:35:01.151621;Claim;352446
2022-12-06T00:43:00.151687;Incendio doloso Auto;2022-12-01T00:34:48.151687;Claim;352449
;Incendio doloso Casa;2022-07-31T00:30:27.151737;Claim;352452
2022-07-23T00:41:00.151782;Incidente Auto;2022-07-18T00:30:35.151782;Claim;352455
