:START_ID;:TYPE;:END_ID
879;DEALS_WITH;877
882;DEALS_WITH;880
885;DEALS_WITH;883
888;DEALS_WITH;886
891;DEALS_WITH;889
894;DEALS_WITH;892
897;DEALS_WITH;895
900;DEALS_WITH;898
903;DEALS_WITH;901
906;DEALS_WITH;904
909;DEALS_WITH;907
912;DEALS_WITH;910
915;DEALS_WITH;913
918;DEALS_WITH;916
921;DEALS_WITH;919
924;DEALS_WITH;922
927;DEALS_WITH;925
930;DEALS_WITH;928
933;DEALS_WITH;931
936;DEALS_WITH;934
939;DEALS_WITH;937
942;DEALS_WITH;940
945;DEALS_WITH;943
948;DEALS_WITH;946
951;DEALS_WITH;949
954;DEALS_WITH;952
957;DEALS_WITH;955
960;DEALS_WITH;958
963;DEALS_WITH;961
966;DEALS_WITH;964
969;DEALS_WITH;967
972;DEALS_WITH;970
975;DEALS_WITH;973
978;DEALS_WITH;976
981;DEALS_WITH;979
984;DEALS_WITH;982
987;DEALS_WITH;985
990;DEALS_WITH;988
993;DEALS_WITH;991
996;DEALS_WITH;994
999;DEALS_WITH;997
1002;DEALS_WITH;1000
1005;DEALS_WITH;1003
1008;DEALS_WITH;1006
1011;DEALS_WITH;1009
1014;DEALS_WITH;1012
1017;DEALS_WITH;1015
1020;DEALS_WITH;1018
1023;DEALS_WITH;1021
1026;DEALS_WITH;1024
1029;DEALS_WITH;1027
1032;DEALS_WITH;1030
1035;DEALS_WITH;1033
1038;DEALS_WITH;1036
1041;DEALS_WITH;1039
1044;DEALS_WITH;1042
1047;DEALS_WITH;1045
1050;DEALS_WITH;1048
1053;DEALS_WITH;1051
1056;DEALS_WITH;1054
1059;DEALS_WITH;1057
1062;DEALS_WITH;1060
1065;DEALS_WITH;1063
1068;DEALS_WITH;1066
1071;DEALS_WITH;1069
1074;DEALS_WITH;1072
1077;DEALS_WITH;1075
1080;DEALS_WITH;1078
1083;DEALS_WITH;1081
1086;DEALS_WITH;1084
1089;DEALS_WITH;1087
1092;DEALS_WITH;1090
879;DEALS_WITH;1093
882;DEALS_WITH;1095
885;DEALS_WITH;1097
888;DEALS_WITH;1099
891;DEALS_WITH;1101
894;DEALS_WITH;1103
897;DEALS_WITH;1105
900;DEALS_WITH;1107
903;DEALS_WITH;1109
906;DEALS_WITH;1111
909;DEALS_WITH;1112
912;DEALS_WITH;1113
915;DEALS_WITH;1114
918;DEALS_WITH;1115
921;DEALS_WITH;1116
924;DEALS_WITH;1117
927;DEALS_WITH;1118
930;DEALS_WITH;1119
