:START_ID;:TYPE;:END_ID
878;CHECKS;877
881;CHECKS;880
884;CHECKS;883
887;CHECKS;886
890;CHECKS;889
893;CHECKS;892
896;CHECKS;895
899;CHECKS;898
902;CHECKS;901
905;CHECKS;904
908;CHECKS;907
911;CHECKS;910
914;CHECKS;913
917;CHECKS;916
920;CHECKS;919
923;CHECKS;922
926;CHECKS;925
929;CHECKS;928
932;CHECKS;931
935;CHECKS;934
938;CHECKS;937
941;CHECKS;940
944;CHECKS;943
947;CHECKS;946
950;CHECKS;949
953;CHECKS;952
956;CHECKS;955
959;CHECKS;958
962;CHECKS;961
965;CHECKS;964
968;CHECKS;967
971;CHECKS;970
974;CHECKS;973
977;CHECKS;976
980;CHECKS;979
983;CHECKS;982
986;CHECKS;985
989;CHECKS;988
992;CHECKS;991
995;CHECKS;994
998;CHECKS;997
1001;CHECKS;1000
1004;CHECKS;1003
1007;CHECKS;1006
1010;CHECKS;1009
1013;CHECKS;1012
1016;CHECKS;1015
1019;CHECKS;1018
1022;CHECKS;1021
1025;CHECKS;1024
1028;CHECKS;1027
1031;CHECKS;1030
1034;CHECKS;1033
1037;CHECKS;1036
1040;CHECKS;1039
1043;CHECKS;1042
1046;CHECKS;1045
1049;CHECKS;1048
1052;CHECKS;1051
1055;CHECKS;1054
1058;CHECKS;1057
1061;CHECKS;1060
1064;CHECKS;1063
1067;CHECKS;1066
1070;CHECKS;1069
1073;CHECKS;1072
1076;CHECKS;1075
1079;CHECKS;1078
1082;CHECKS;1081
1085;CHECKS;1084
1088;CHECKS;1087
1091;CHECKS;1090
1094;CHECKS;1093
1096;CHECKS;1095
1098;CHECKS;1097
1100;CHECKS;1099
1102;CHECKS;1101
1104;CHECKS;1103
1106;CHECKS;1105
1108;CHECKS;1107
1110;CHECKS;1109
878;CHECKS;1111
881;CHECKS;1112
884;CHECKS;1113
887;CHECKS;1114
890;CHECKS;1115
893;CHECKS;1116
896;CHECKS;1117
899;CHECKS;1118
902;CHECKS;1119
