:START_ID;:TYPE;:END_ID
560;HAS_PHONE;563
565;HAS_PHONE;568
570;HAS_PHONE;573
575;HAS_PHONE;578
580;HAS_PHONE;583
585;HAS_PHONE;588
590;HAS_PHONE;593
595;HAS_PHONE;598
600;HAS_PHONE;603
605;HAS_PHONE;608
610;HAS_PHONE;613
615;HAS_PHONE;618
620;HAS_PHONE;623
625;HAS_PHONE;628
630;HAS_PHONE;633
635;HAS_PHONE;638
640;HAS_PHONE;643
645;HAS_PHONE;648
650;HAS_PHONE;653
655;HAS_PHONE;658
660;HAS_PHONE;663
665;HAS_PHONE;668
670;HAS_PHONE;673
675;HAS_PHONE;678
680;HAS_PHONE;683
685;HAS_PHONE;688
690;HAS_PHONE;693
695;HAS_PHONE;698
700;HAS_PHONE;703
705;HAS_PHONE;708
710;HAS_PHONE;713
715;HAS_PHONE;718
720;HAS_PHONE;723
725;HAS_PHONE;728
730;HAS_PHONE;733
735;HAS_PHONE;738
740;HAS_PHONE;743
745;HAS_PHONE;748
750;HAS_PHONE;753
755;HAS_PHONE;758
760;HAS_PHONE;763
765;HAS_PHONE;768
770;HAS_PHONE;773
775;HAS_PHONE;778
780;HAS_PHONE;783
785;HAS_PHONE;788
790;HAS_PHONE;793
795;HAS_PHONE;798
800;HAS_PHONE;803
805;HAS_PHONE;808
810;HAS_PHONE;813
815;HAS_PHONE;818
820;HAS_PHONE;563
824;HAS_PHONE;568
828;HAS_PHONE;573
832;HAS_PHONE;578
836;HAS_PHONE;583
840;HAS_PHONE;588
844;HAS_PHONE;593
848;HAS_PHONE;598
852;HAS_PHONE;603
855;HAS_PHONE;608
858;HAS_PHONE;613
861;HAS_PHONE;618
863;HAS_PHONE;623
865;HAS_PHONE;628
867;HAS_PHONE;633
869;HAS_PHONE;638
870;HAS_PHONE;643
871;HAS_PHONE;648
872;HAS_PHONE;653
873;HAS_PHONE;658
874;HAS_PHONE;663
875;HAS_PHONE;668
876;HAS_PHONE;673
