open_date;type;:LABEL;closed_date;:ID
2022-11-14T20:59:14.284500;Furto Auto;Claim;;877
2022-07-04T20:58:35.286062;Furto Auto;Claim;;880
2022-09-11T20:58:57.287019;Furto Auto;Claim;;883
2022-08-12T21:02:39.287019;Incidente Auto;Claim;;886
2022-08-13T20:58:24.287019;Furto Auto;Claim;;889
2022-05-26T21:01:22.289024;Incidente Auto;Claim;2022-05-31T21:11:32.289024;892
2022-05-21T21:03:12.289024;Incendio doloso Casa;Claim;;895
2022-02-06T21:02:47.289024;Incendio doloso Casa;Claim;2022-02-11T21:13:06.289024;898
2022-07-24T21:00:19.289024;Furto in Casa;Claim;;901
2022-02-23T21:00:53.290019;Incendio doloso Auto;Claim;;904
2022-06-14T21:03:49.290019;Furto in Casa;Claim;;907
2022-05-20T21:02:15.290019;Incendio doloso Auto;Claim;2022-05-25T21:07:58.290019;910
2022-08-29T21:00:00.290019;Furto in Casa;Claim;;913
2023-01-18T21:01:45.291019;Incidente Auto;Claim;2023-01-23T21:10:06.291019;916
2022-08-10T21:03:04.292020;Incendio doloso Casa;Claim;2022-08-15T21:09:29.292020;919
2022-10-22T20:58:07.292020;Furto Auto;Claim;;922
2022-12-17T21:00:32.293020;Furto in Casa;Claim;2022-12-22T21:07:53.293020;925
2023-01-09T21:01:27.293020;Incendio doloso Casa;Claim;;928
2022-09-14T21:01:00.293020;Incendio doloso Casa;Claim;;931
2023-01-07T21:02:04.293020;Incendio doloso Auto;Claim;;934
2022-04-27T21:00:33.295021;Incendio doloso Auto;Claim;2022-05-02T21:10:41.295021;937
2022-03-17T21:03:40.295021;Incendio doloso Auto;Claim;;940
2022-08-27T21:02:20.295021;Incendio doloso Casa;Claim;2022-09-01T21:12:16.295021;943
2022-08-08T20:58:50.295021;Furto in Casa;Claim;2022-08-13T21:05:06.295021;946
2022-05-20T21:02:25.296018;Furto in Casa;Claim;2022-05-25T21:09:09.296018;949
2022-07-21T21:00:36.296018;Furto Auto;Claim;;952
2022-12-25T21:03:16.296018;Incidente Auto;Claim;2022-12-30T21:11:41.296018;955
2022-02-12T20:58:00.297275;Incidente Auto;Claim;2022-02-17T21:05:56.297275;958
2022-01-29T21:01:06.297275;Furto Auto;Claim;;961
2022-09-05T20:59:04.297275;Incidente Auto;Claim;;964
2022-04-23T21:00:34.297275;Incendio doloso Auto;Claim;;967
2022-08-08T20:58:14.297275;Furto in Casa;Claim;;970
2022-08-13T20:58:26.297275;Incendio doloso Casa;Claim;;973
2023-01-10T21:00:09.298275;Furto Auto;Claim;;976
2022-02-24T21:01:57.298275;Incendio doloso Auto;Claim;;979
2022-03-11T21:03:45.299276;Incendio doloso Casa;Claim;;982
2022-02-19T21:00:38.299276;Incendio doloso Casa;Claim;2022-02-24T21:08:48.299276;985
2022-07-05T20:59:59.299276;Furto in Casa;Claim;;988
2022-06-17T21:03:25.300279;Furto in Casa;Claim;;991
2022-05-05T20:59:46.300279;Incendio doloso Casa;Claim;2022-05-10T21:07:07.300279;994
2022-02-12T20:57:55.300279;Incidente Auto;Claim;2022-02-17T21:05:42.300279;997
2022-07-31T20:59:44.300279;Furto Auto;Claim;;1000
2022-05-15T21:02:19.300279;Incendio doloso Auto;Claim;2022-05-20T21:08:16.300279;1003
2022-08-12T21:00:16.300279;Furto Auto;Claim;2022-08-17T21:06:54.300279;1006
2022-07-24T21:03:43.302276;Incendio doloso Auto;Claim;;1009
2023-01-15T21:01:15.302276;Incendio doloso Casa;Claim;;1012
2022-03-01T21:00:26.302276;Furto in Casa;Claim;;1015
2022-10-17T21:01:44.303278;Furto Auto;Claim;2022-10-22T21:07:26.303278;1018
2022-04-23T21:01:00.303278;Incidente Auto;Claim;2022-04-28T21:08:21.303278;1021
2022-04-24T20:58:28.303278;Incendio doloso Casa;Claim;2022-04-29T21:04:52.303278;1024
2022-02-12T20:57:59.303278;Furto in Casa;Claim;;1027
2022-07-19T21:03:07.303278;Furto Auto;Claim;2022-07-24T21:09:53.303278;1030
2022-04-06T21:02:45.303278;Incidente Auto;Claim;;1033
2022-02-19T21:03:24.303278;Incidente Auto;Claim;2022-02-24T21:09:32.303278;1036
2022-11-27T20:59:58.306794;Incidente Auto;Claim;;1039
2022-12-17T21:01:36.306794;Incidente Auto;Claim;;1042
2023-01-12T21:02:52.306794;Furto Auto;Claim;;1045
2022-06-07T20:59:12.306794;Furto in Casa;Claim;;1048
2022-12-17T21:01:05.306794;Incidente Auto;Claim;2022-12-22T21:09:06.306794;1051
