:LABEL;country;city;zip_code;:ID;street
Address;Italy;Trapani;09121;218;Via Malacarne, 31 Appartamento 77
Address;Italy;Oristano;23835;223;Via Elena, 951
Address;Italy;Trapani;20145;228;Stretto Guidone, 37 Piano 4
Address;Italy;Ogliastra;43022;233;Incrocio Pasqual, 21 Piano 9
Address;Italy;Mantova;52015;238;Canale Capecchi, 40
Address;Italy;Ogliastra;09044;243;Via Bartolomeo, 537 Piano 9
Address;Italy;Verbano-Cusio-Ossola;00155;248;Viale Annunziata, 9 Appartamento 36
Address;Italy;Nuoro;53011;253;Stretto Giuseppe, 69 Appartamento 81
Address;Italy;Caltanissetta;86074;258;Viale Cassarà, 126 Piano 8
Address;Italy;Ogliastra;38048;263;Via Tognazzi, 74 Piano 9
Address;Italy;Livorno;89069;268;Incrocio Griselda, 568 Piano 7
Address;Italy;Varese;22014;273;Contrada Sandra, 37
Address;Italy;Alessandria;89041;278;Canale Gastone, 892
Address;Italy;Torino;57125;283;Incrocio Gabriele, 31
Address;Italy;Parma;44043;288;Rotonda Cusano, 75
Address;Italy;Vercelli;90028;292;Piazza Andreotti, 17 Appartamento 0
Address;Italy;Cuneo;90125;296;Strada Paltrinieri, 83
Address;Italy;Campobasso;80063;299;Piazza Boezio, 23
