type;:LABEL;open_date;:ID;closed_date
Incidente Auto;Claim;2022-02-22T20:31:53.133666;105;2022-02-27T20:39:13.133666
Incendio doloso Auto;Claim;2022-06-02T20:33:00.133666;108;
Incidente Auto;Claim;2022-08-07T20:30:48.134673;111;2022-08-12T20:39:50.134673
Incendio doloso Auto;Claim;2022-04-04T20:31:30.134673;114;
Incendio doloso Auto;Claim;2022-04-20T20:32:12.134673;117;2022-04-25T20:43:04.134673
Incendio doloso Casa;Claim;2022-09-24T20:31:32.136669;120;2022-09-29T20:36:48.136669
Incendio doloso Auto;Claim;2022-12-19T20:34:34.136669;123;2022-12-24T20:44:02.136669
Furto in Casa;Claim;2022-11-21T20:35:31.136669;126;2022-11-26T20:45:07.136669
Incidente Auto;Claim;2022-02-03T20:31:21.136669;129;2022-02-08T20:38:33.136669
Furto Auto;Claim;2022-03-20T20:30:58.138669;132;2022-03-25T20:40:49.138669
Furto in Casa;Claim;2022-05-11T20:34:32.138669;135;2022-05-16T20:43:00.138669
Furto Auto;Claim;2022-10-28T20:33:26.138669;138;
Incendio doloso Auto;Claim;2022-11-14T20:35:05.138669;141;
Incendio doloso Casa;Claim;2022-06-20T20:33:45.138669;144;2022-06-25T20:42:22.138669
Incendio doloso Auto;Claim;2022-03-09T20:32:55.140668;147;2022-03-14T20:41:53.140668
Incendio doloso Casa;Claim;2022-07-12T20:32:34.141173;150;2022-07-17T20:43:31.141173
Incidente Auto;Claim;2022-07-19T20:35:32.141173;153;2022-07-24T20:42:15.141173
Furto in Casa;Claim;2022-03-24T20:36:17.141173;156;
Incendio doloso Auto;Claim;2022-02-08T20:30:49.141173;159;2022-02-13T20:37:41.141173
Furto Auto;Claim;2022-06-27T20:33:00.141173;162;
Furto Auto;Claim;2023-01-17T20:33:39.143189;165;
Incidente Auto;Claim;2022-04-18T20:33:25.143189;168;
Incidente Auto;Claim;2022-12-15T20:30:54.143189;171;2022-12-20T20:39:53.143189
Furto Auto;Claim;2022-11-05T20:31:50.143189;174;2022-11-10T20:41:09.143189
Incendio doloso Auto;Claim;2022-09-28T20:30:42.144193;177;2022-10-03T20:40:40.144193
Furto in Casa;Claim;2022-04-20T20:33:05.144193;179;2022-04-25T20:44:00.144193
Furto Auto;Claim;2022-09-23T20:35:07.144193;181;2022-09-28T20:43:32.144193
Incendio doloso Auto;Claim;2022-04-02T20:33:25.145188;183;
Furto in Casa;Claim;2022-02-11T20:33:52.145188;184;2022-02-16T20:42:30.145188
Furto Auto;Claim;2022-09-09T20:35:55.145188;185;2022-09-14T20:42:12.145188
