:ID;:LABEL;type;open_date:datetime;closed_date:datetime
533878;Claim;Furto Auto;2022-12-18T19:26:36.587309;2022-12-23T19:34:43.587309
533881;Claim;Incendio doloso Casa;2022-04-15T19:23:27.588308;2022-04-20T19:29:43.588308
533890;Claim;Incendio doloso Casa;2022-12-10T19:26:53.589312;2022-12-15T19:32:46.589312
533899;Claim;Incendio doloso Auto;2022-09-06T19:26:32.589312;2022-09-11T19:34:12.589312
533908;Claim;Incidente Auto;2022-06-20T19:25:00.590310;2022-06-25T19:31:44.590310
533914;Claim;Furto Auto;2022-09-04T19:25:13.590310;2022-09-09T19:34:47.590310
533917;Claim;Furto in Casa;2022-03-29T19:25:36.591311;2022-04-03T19:31:55.591311
533923;Claim;Incendio doloso Auto;2022-08-14T19:26:30.591311;2022-08-19T19:32:53.591311
533929;Claim;Incendio doloso Casa;2023-01-18T19:26:33.592309;2023-01-23T19:36:53.592309
533944;Claim;Furto in Casa;2022-09-05T19:25:34.593312;2022-09-10T19:33:21.593312
533956;Claim;Incendio doloso Casa;2022-11-25T19:23:56.594310;2022-11-30T19:32:00.594310
533962;Claim;Incendio doloso Casa;2023-01-11T19:26:05.594310;2023-01-16T19:31:38.594310
533965;Claim;Incidente Auto;2022-02-21T19:23:17.594310;2022-02-26T19:29:20.594310
533968;Claim;Furto in Casa;2022-01-27T19:25:03.594310;2022-02-01T19:30:26.594310
533971;Claim;Incidente Auto;2022-07-03T19:27:44.594310;2022-07-08T19:35:27.594310
533977;Claim;Furto Auto;2022-03-25T19:23:59.594310;2022-03-30T19:31:21.594310
533980;Claim;Furto Auto;2023-01-20T19:25:28.595310;2023-01-25T19:34:09.595310
533986;Claim;Incendio doloso Auto;2022-02-15T19:25:16.595310;2022-02-20T19:32:49.595310
533989;Claim;Incidente Auto;2022-05-20T19:25:13.595310;2022-05-25T19:32:20.595310
533995;Claim;Incendio doloso Auto;2022-09-30T19:22:36.595310;2022-10-05T19:32:30.595310
533998;Claim;Incidente Auto;2022-12-06T19:26:55.596530;2022-12-11T19:33:08.596530
534001;Claim;Incendio doloso Casa;2022-07-04T19:22:05.596530;2022-07-09T19:32:31.596530
534004;Claim;Incendio doloso Casa;2022-07-03T19:27:21.596530;2022-07-08T19:37:00.596530
534007;Claim;Furto in Casa;2022-05-23T19:23:25.597532;2022-05-28T19:31:46.597532
534010;Claim;Incendio doloso Casa;2022-07-02T19:25:13.597532;2022-07-07T19:31:11.597532
534022;Claim;Furto in Casa;2022-12-17T19:25:49.597532;2022-12-22T19:35:48.597532
534028;Claim;Incidente Auto;2022-10-13T19:21:59.597532;2022-10-18T19:32:37.597532
534031;Claim;Incidente Auto;2022-10-08T19:23:54.597532;2022-10-13T19:30:34.597532
534037;Claim;Incidente Auto;2022-08-15T19:22:55.639216;2022-08-20T19:29:07.639216
534046;Claim;Incendio doloso Auto;2022-06-08T19:24:13.639216;2022-06-13T19:29:16.639216
534055;Claim;Incendio doloso Auto;2022-03-05T19:25:06.639216;2022-03-10T19:31:01.639216
534061;Claim;Furto in Casa;2022-02-07T19:25:00.639216;2022-02-12T19:34:46.639216
534067;Claim;Incendio doloso Auto;2022-12-10T19:27:32.639216;2022-12-15T19:33:14.639216
534070;Claim;Incendio doloso Auto;2022-04-06T19:25:04.639216;2022-04-11T19:33:25.639216
534082;Claim;Incidente Auto;2022-09-26T19:25:25.640215;2022-10-01T19:32:34.640215
534088;Claim;Furto Auto;2022-09-10T19:26:06.640215;2022-09-15T19:32:15.640215
534091;Claim;Incendio doloso Casa;2022-02-18T19:22:05.640215;2022-02-23T19:32:17.640215
534097;Claim;Furto Auto;2022-09-23T19:24:49.640215;2022-09-28T19:32:54.640215
534103;Claim;Furto in Casa;2022-06-30T19:27:41.640215;2022-07-05T19:34:00.640215
534106;Claim;Furto in Casa;2022-05-13T19:23:35.640215;2022-05-18T19:29:09.640215
534109;Claim;Incendio doloso Auto;2022-11-20T19:27:44.640215;2022-11-25T19:36:28.640215
534127;Claim;Furto Auto;2022-07-14T19:27:31.640215;2022-07-19T19:32:57.640215
534130;Claim;Incendio doloso Auto;2022-05-23T19:25:41.640215;2022-05-28T19:31:09.640215
534133;Claim;Furto in Casa;2022-07-30T19:27:30.641216;2022-08-04T19:36:03.641216
534139;Claim;Furto in Casa;2022-09-22T19:23:46.641216;2022-09-27T19:34:30.641216
534142;Claim;Furto in Casa;2022-10-10T19:24:00.641216;2022-10-15T19:34:48.641216
534154;Claim;Furto Auto;2022-03-22T19:22:32.641216;2022-03-27T19:31:53.641216
534160;Claim;Furto Auto;2022-06-25T19:26:53.641216;2022-06-30T19:37:19.641216
534166;Claim;Incendio doloso Casa;2022-08-21T19:25:47.641216;2022-08-26T19:36:05.641216
534175;Claim;Incidente Auto;2022-03-13T19:23:45.641216;2022-03-18T19:32:34.641216
534178;Claim;Furto in Casa;2022-06-12T19:23:34.641216;2022-06-17T19:29:43.641216
534184;Claim;Furto Auto;2022-07-06T19:27:33.641216;2022-07-11T19:33:41.641216
534190;Claim;Incendio doloso Auto;2022-03-27T19:22:53.641216;2022-04-01T19:30:40.641216
534193;Claim;Furto in Casa;2022-09-14T19:25:46.641216;2022-09-19T19:36:01.641216
534196;Claim;Incendio doloso Auto;2022-05-03T19:24:18.641216;2022-05-08T19:33:19.641216
534202;Claim;Incidente Auto;2022-10-22T19:26:42.642215;2022-10-27T19:37:14.642215
534205;Claim;Incendio doloso Auto;2023-01-23T19:26:35.642215;2023-01-28T19:37:06.642215
534211;Claim;Incendio doloso Casa;2023-01-11T19:23:24.642215;2023-01-16T19:32:48.642215
534214;Claim;Furto in Casa;2022-04-06T19:21:55.642215;2022-04-11T19:28:38.642215
534229;Claim;Furto in Casa;2022-10-07T19:27:51.642215;2022-10-12T19:36:47.642215
534253;Claim;Furto in Casa;2022-09-23T19:22:49.642215;2022-09-28T19:31:50.642215
534259;Claim;Incidente Auto;2022-06-02T19:26:57.642215;2022-06-07T19:35:23.642215
534268;Claim;Incidente Auto;2023-01-17T19:23:18.643213;2023-01-22T19:32:44.643213
534274;Claim;Furto Auto;2022-02-12T19:22:51.643213;2022-02-17T19:29:13.643213
534280;Claim;Incidente Auto;2022-05-22T19:24:59.643213;2022-05-27T19:33:42.643213
534289;Claim;Furto Auto;2022-09-04T19:25:20.643213;2022-09-09T19:30:34.643213
534292;Claim;Incendio doloso Auto;2022-12-27T19:23:50.643213;2023-01-01T19:31:38.643213
534295;Claim;Furto in Casa;2022-08-23T19:23:33.643213;2022-08-28T19:34:28.643213
534301;Claim;Incidente Auto;2022-11-07T19:23:43.643213;2022-11-12T19:34:32.643213
534307;Claim;Incendio doloso Casa;2022-08-21T19:22:12.643213;2022-08-26T19:31:15.643213
534316;Claim;Incendio doloso Auto;2022-10-23T19:25:03.643213;2022-10-28T19:32:12.643213
534319;Claim;Furto in Casa;2022-03-31T19:26:38.643213;2022-04-05T19:35:55.643213
534325;Claim;Incendio doloso Auto;2022-12-25T19:26:51.644214;2022-12-30T19:36:50.644214
534331;Claim;Incidente Auto;2022-03-24T19:23:07.644214;2022-03-29T19:30:45.644214
534334;Claim;Furto in Casa;2022-08-07T19:26:29.644214;2022-08-12T19:33:59.644214
534337;Claim;Furto in Casa;2022-04-06T19:25:51.644214;2022-04-11T19:33:04.644214
534340;Claim;Furto Auto;2022-10-04T19:27:07.644214;2022-10-09T19:35:32.644214
534343;Claim;Incendio doloso Casa;2022-08-08T19:23:38.644214;2022-08-13T19:30:31.644214
534346;Claim;Furto Auto;2022-11-27T19:27:04.644214;2022-12-02T19:32:50.644214
534349;Claim;Furto in Casa;2022-03-21T19:21:54.644214;2022-03-26T19:30:50.644214
534352;Claim;Incidente Auto;2022-06-09T19:21:54.644214;2022-06-14T19:29:47.644214
534358;Claim;Incendio doloso Casa;2022-09-13T19:26:30.644214;2022-09-18T19:35:32.644214
534361;Claim;Furto in Casa;2022-11-07T19:22:09.644214;2022-11-12T19:33:04.644214
534367;Claim;Incendio doloso Auto;2022-03-13T19:21:58.644214;2022-03-18T19:30:02.644214
534373;Claim;Incendio doloso Casa;2022-05-18T19:24:34.644214;2022-05-23T19:30:59.644214
534376;Claim;Incendio doloso Auto;2023-01-12T19:25:30.644214;2023-01-17T19:31:11.644214
534379;Claim;Incidente Auto;2022-09-18T19:26:04.644214;2022-09-23T19:33:29.644214
534385;Claim;Furto in Casa;2022-03-25T19:24:58.645215;2022-03-30T19:32:39.645215
534388;Claim;Incendio doloso Auto;2022-09-27T19:23:20.645215;2022-10-02T19:33:52.645215
534391;Claim;Incendio doloso Casa;2022-05-22T19:27:27.645215;2022-05-27T19:34:47.645215
534409;Claim;Furto Auto;2022-06-16T19:22:02.645215;2022-06-21T19:32:38.645215
534415;Claim;Incendio doloso Auto;2023-01-17T19:24:03.645215;2023-01-22T19:33:12.645215
534418;Claim;Incidente Auto;2022-09-20T19:22:33.645725;2022-09-25T19:32:02.645725
534424;Claim;Incidente Auto;2022-07-19T19:25:00.645725;2022-07-24T19:33:56.645725
534427;Claim;Furto Auto;2022-02-12T19:25:31.645725;2022-02-17T19:33:24.645725
534430;Claim;Incendio doloso Auto;2022-08-24T19:22:53.645725;2022-08-29T19:29:31.645725
534433;Claim;Furto Auto;2022-02-21T19:25:09.645725;2022-02-26T19:31:39.645725
534442;Claim;Incendio doloso Casa;2022-02-26T19:26:45.645725;2022-03-03T19:35:49.645725
