:ID;:LABEL;type;open_date;closed_date
440429;Claim;Incendio doloso Casa;2023-01-13T13:45:07.721775;2023-01-18T13:54:27.721775
440432;Claim;Incendio doloso Casa;2023-01-03T13:40:16.721775;2023-01-08T13:47:51.721775
440435;Claim;Incendio doloso Casa;2022-08-12T13:42:32.721775;2022-08-17T13:52:33.721775
440441;Claim;Furto in Casa;2022-12-11T13:41:36.723779;2022-12-16T13:50:00.723779
440444;Claim;Incendio doloso Casa;2022-12-28T13:44:03.723779;2023-01-02T13:51:34.723779
440447;Claim;Furto in Casa;2023-01-06T13:40:07.723779;2023-01-11T13:50:34.723779
440486;Claim;Furto Auto;2022-01-31T13:44:57.727775;2022-02-05T13:51:09.727775
440489;Claim;Furto Auto;2022-05-24T13:44:57.727775;2022-05-29T13:51:52.727775
440492;Claim;Incendio doloso Auto;2022-09-13T13:45:45.727775;2022-09-18T13:51:51.727775
440495;Claim;Incidente Auto;2022-12-28T13:43:21.727775;2023-01-02T13:51:06.727775
440501;Claim;Incendio doloso Casa;2022-12-03T13:41:22.727775;2022-12-08T13:50:51.727775
440513;Claim;Incendio doloso Auto;2022-05-03T13:42:27.728777;2022-05-08T13:50:02.728777
440516;Claim;Incidente Auto;2022-10-25T13:45:00.728777;2022-10-30T13:52:30.728777
440534;Claim;Incidente Auto;2022-10-21T13:44:45.729776;2022-10-26T13:50:27.729776
440537;Claim;Furto Auto;2022-12-11T13:44:24.729776;2022-12-16T13:51:25.729776
440555;Claim;Incendio doloso Casa;2022-12-16T13:41:28.730776;2022-12-21T13:46:46.730776
440558;Claim;Incendio doloso Casa;2022-05-12T13:44:40.731777;2022-05-17T13:54:42.731777
440561;Claim;Furto Auto;2022-02-12T13:41:37.731777;2022-02-17T13:47:11.731777
440576;Claim;Furto in Casa;2023-01-23T13:43:09.731777;2023-01-28T13:51:44.731777
440579;Claim;Incendio doloso Casa;2022-11-13T13:43:29.731777;2022-11-18T13:50:12.731777
440585;Claim;Furto in Casa;2022-03-06T13:41:50.731777;2022-03-11T13:49:39.731777
440588;Claim;Furto in Casa;2022-08-23T13:44:23.748779;2022-08-28T13:53:27.748779
440591;Claim;Incidente Auto;2022-11-30T13:40:09.748779;2022-12-05T13:50:18.748779
440594;Claim;Furto Auto;2022-06-22T13:42:18.748779;2022-06-27T13:48:07.748779
440597;Claim;Incidente Auto;2022-05-20T13:42:41.748779;2022-05-25T13:49:39.748779
440609;Claim;Furto in Casa;2022-02-08T13:44:54.748779;2022-02-13T13:53:41.748779
440612;Claim;Incendio doloso Casa;2022-08-24T13:43:27.748779;2022-08-29T13:49:07.748779
440615;Claim;Incidente Auto;2022-07-06T13:41:43.748779;2022-07-11T13:47:15.748779
440624;Claim;Furto Auto;2022-08-11T13:44:50.748779;2022-08-16T13:51:42.748779
440627;Claim;Incidente Auto;2022-06-05T13:44:47.748779;2022-06-10T13:52:02.748779
440630;Claim;Furto in Casa;2022-07-22T13:45:50.748779;2022-07-27T13:56:26.748779
440633;Claim;Incendio doloso Casa;2022-01-29T13:42:01.749780;2022-02-03T13:48:39.749780
440639;Claim;Incidente Auto;2022-12-07T13:43:36.749780;2022-12-12T13:49:41.749780
440645;Claim;Incendio doloso Casa;2022-09-05T13:41:21.749780;2022-09-10T13:47:19.749780
440657;Claim;Incendio doloso Casa;2022-04-06T13:45:33.749780;2022-04-11T13:53:40.749780
440660;Claim;Incendio doloso Casa;2022-01-27T13:40:57.749780;2022-02-01T13:51:56.749780
440666;Claim;Incidente Auto;2022-11-01T13:44:24.749780;2022-11-06T13:50:03.749780
440669;Claim;Furto in Casa;2022-11-21T13:45:58.749780;2022-11-26T13:55:05.749780
440672;Claim;Incendio doloso Auto;2022-02-26T13:43:47.749780;2022-03-03T13:51:40.749780
440681;Claim;Furto in Casa;2022-02-08T13:45:44.749780;2022-02-13T13:51:03.749780
440687;Claim;Incidente Auto;2022-04-26T13:40:41.749780;2022-05-01T13:49:22.749780
440690;Claim;Furto in Casa;2022-10-16T13:41:32.749780;2022-10-21T13:52:18.749780
440693;Claim;Incidente Auto;2022-09-02T13:42:07.749780;2022-09-07T13:47:19.749780
440696;Claim;Incidente Auto;2022-04-16T13:42:45.749780;2022-04-21T13:53:37.749780
440699;Claim;Incendio doloso Auto;2022-12-02T13:42:56.749780;2022-12-07T13:48:29.749780
440702;Claim;Furto Auto;2022-02-04T13:43:33.750779;2022-02-09T13:52:09.750779
440705;Claim;Incidente Auto;2022-04-04T13:43:57.750779;2022-04-09T13:52:18.750779
440711;Claim;Furto Auto;2022-04-05T13:42:58.750779;2022-04-10T13:52:49.750779
440717;Claim;Incendio doloso Casa;2022-11-24T13:44:42.750779;2022-11-29T13:55:38.750779
440720;Claim;Incendio doloso Auto;2022-04-27T13:42:21.750779;2022-05-02T13:51:19.750779
440726;Claim;Furto in Casa;2022-12-07T13:40:38.750779;2022-12-12T13:50:00.750779
440732;Claim;Incidente Auto;2023-01-21T13:44:28.750779;2023-01-26T13:55:12.750779
440741;Claim;Furto Auto;2022-10-30T13:41:47.750779;2022-11-04T13:49:21.750779
440747;Claim;Incidente Auto;2022-12-27T13:43:41.750779;2023-01-01T13:52:38.750779
