:ID;:LABEL;type;open_date:datetime
212503;Claim;Incendio doloso Auto;2022-06-15T19:18:13.725623
212506;Claim;Incidente Auto;2022-07-14T19:21:03.726623
212518;Claim;Incendio doloso Casa;2022-02-03T19:19:56.728085
212521;Claim;Incendio doloso Auto;2022-12-24T19:22:17.728085
212536;Claim;Incidente Auto;2022-04-15T19:18:29.729085
212542;Claim;Incendio doloso Casa;2022-11-30T19:20:41.730084
212545;Claim;Furto Auto;2022-03-05T19:19:00.730084
212560;Claim;Incidente Auto;2022-05-08T19:20:40.732086
212563;Claim;Furto in Casa;2022-11-04T19:20:41.732086
212569;Claim;Incendio doloso Casa;2022-07-24T19:17:32.732086
212572;Claim;Incendio doloso Auto;2022-05-04T19:22:12.732086
212581;Claim;Furto in Casa;2022-07-01T19:18:38.733086
212590;Claim;Furto Auto;2022-12-06T19:19:40.733086
212596;Claim;Furto in Casa;2022-10-06T19:22:09.733086
212602;Claim;Furto Auto;2022-11-17T19:18:46.733086
212617;Claim;Incidente Auto;2022-12-09T19:18:53.735088
212620;Claim;Furto Auto;2022-08-18T19:17:35.735088
212626;Claim;Furto Auto;2022-05-24T19:22:18.735088
212629;Claim;Incidente Auto;2022-12-22T19:21:53.735088
212635;Claim;Furto Auto;2022-09-21T19:17:52.736596
212641;Claim;Incendio doloso Casa;2022-09-24T19:21:39.736596
212653;Claim;Incendio doloso Auto;2022-08-15T19:22:30.736596
212659;Claim;Incendio doloso Casa;2022-12-27T19:16:56.736596
212662;Claim;Furto Auto;2022-04-17T19:20:46.747656
212665;Claim;Incendio doloso Casa;2022-05-06T19:21:18.747656
212671;Claim;Furto in Casa;2022-11-02T19:17:27.747656
212677;Claim;Incendio doloso Auto;2022-08-23T19:16:59.747656
212686;Claim;Furto in Casa;2022-07-10T19:21:50.747656
212692;Claim;Incidente Auto;2022-02-18T19:18:41.747656
212695;Claim;Furto Auto;2022-10-02T19:21:54.747656
212698;Claim;Incendio doloso Auto;2022-05-10T19:20:53.747656
212710;Claim;Incendio doloso Casa;2022-08-13T19:19:47.747656
212716;Claim;Furto Auto;2022-11-16T19:17:14.748663
212725;Claim;Incendio doloso Auto;2023-01-19T19:21:15.748663
212737;Claim;Furto Auto;2022-10-11T19:19:09.748663
212740;Claim;Incendio doloso Casa;2022-12-09T19:17:32.748663
212755;Claim;Furto Auto;2022-02-06T19:18:06.748663
212764;Claim;Furto Auto;2022-12-28T19:20:42.748663
212767;Claim;Furto Auto;2022-12-06T19:19:21.748663
212770;Claim;Incendio doloso Auto;2022-10-12T19:20:17.748663
212773;Claim;Furto in Casa;2022-04-28T19:21:06.748663
212782;Claim;Furto in Casa;2022-08-25T19:17:19.749663
212785;Claim;Incendio doloso Casa;2022-08-29T19:19:47.749663
212788;Claim;Incendio doloso Auto;2022-11-29T19:17:08.749663
212794;Claim;Incidente Auto;2022-03-28T19:21:17.749663
212818;Claim;Furto in Casa;2022-04-01T19:21:07.749663
212821;Claim;Incendio doloso Casa;2022-12-21T19:22:01.749663
212827;Claim;Incendio doloso Casa;2022-04-29T19:19:53.749663
212833;Claim;Incendio doloso Casa;2022-01-29T19:19:57.749663
212848;Claim;Incendio doloso Casa;2022-12-15T19:18:34.750660
212851;Claim;Incidente Auto;2022-03-05T19:21:31.750660
212863;Claim;Furto Auto;2022-09-19T19:17:13.750660
212884;Claim;Furto in Casa;2023-01-06T19:22:35.750660
212887;Claim;Furto Auto;2022-08-07T19:18:43.750660
212896;Claim;Incendio doloso Casa;2022-03-18T19:22:03.750660
212899;Claim;Incendio doloso Auto;2022-03-02T19:21:28.750660
212908;Claim;Furto Auto;2022-07-17T19:22:07.751664
212911;Claim;Incendio doloso Auto;2022-08-21T19:18:34.751664
212929;Claim;Furto Auto;2022-04-30T19:18:08.751664
212932;Claim;Furto in Casa;2022-10-29T19:17:31.751664
212935;Claim;Furto in Casa;2022-12-16T19:17:17.751664
212938;Claim;Incendio doloso Casa;2022-03-30T19:22:06.751664
212944;Claim;Incendio doloso Casa;2022-02-21T19:18:17.751664
212950;Claim;Furto in Casa;2022-12-10T19:21:46.751664
212953;Claim;Furto in Casa;2022-10-10T19:22:09.751664
212956;Claim;Furto in Casa;2022-11-07T19:18:27.751664
212959;Claim;Furto Auto;2022-02-22T19:17:24.751664
212971;Claim;Furto Auto;2022-09-21T19:19:47.752661
212974;Claim;Incendio doloso Auto;2022-02-12T19:22:13.752661
212977;Claim;Furto in Casa;2022-01-28T19:18:46.752661
212986;Claim;Incidente Auto;2022-02-28T19:18:19.752661
212989;Claim;Furto Auto;2022-10-26T19:17:15.752661
212992;Claim;Furto in Casa;2022-04-17T19:18:47.752661
213007;Claim;Furto in Casa;2022-02-17T19:20:15.752661
213016;Claim;Incidente Auto;2022-12-14T19:17:32.752661
213019;Claim;Incidente Auto;2022-04-23T19:19:36.752661
213034;Claim;Incidente Auto;2022-09-16T19:17:19.752661
213040;Claim;Incendio doloso Casa;2022-06-04T19:21:51.753662
213043;Claim;Incendio doloso Auto;2022-09-16T19:21:22.753662
213046;Claim;Furto in Casa;2022-12-29T19:22:33.753662
213052;Claim;Furto in Casa;2022-12-30T19:20:09.753662
213055;Claim;Furto in Casa;2022-04-01T19:22:21.753662
213058;Claim;Furto in Casa;2022-09-06T19:20:21.753662
213076;Claim;Incendio doloso Casa;2022-06-15T19:16:46.753662
213079;Claim;Incendio doloso Auto;2022-06-26T19:17:17.753662
213082;Claim;Incendio doloso Casa;2022-03-28T19:21:33.753662
213094;Claim;Furto Auto;2022-11-10T19:20:28.753662
213097;Claim;Incendio doloso Auto;2022-03-28T19:18:47.753662
213106;Claim;Incidente Auto;2022-06-12T19:18:39.754662
213115;Claim;Furto in Casa;2022-08-21T19:20:10.754662
213118;Claim;Furto Auto;2022-05-10T19:18:46.754662
213124;Claim;Furto in Casa;2022-10-18T19:20:34.754662
213130;Claim;Incendio doloso Auto;2022-07-11T19:19:36.754662
213136;Claim;Furto Auto;2022-09-07T19:21:11.754662
