:ID;:LABEL;type;open_date:datetime
433;Claim;Furto in Casa;2022-09-03T01:22:56.618264
436;Claim;Incendio doloso Auto;2022-07-19T01:18:49.619262
442;Claim;Furto Auto;2022-09-08T01:18:03.619262
451;Claim;Incendio doloso Casa;2022-10-06T01:19:01.620263
457;Claim;Incendio doloso Casa;2022-03-27T01:21:56.621267
463;Claim;Incidente Auto;2022-02-20T01:22:14.622262
466;Claim;Incendio doloso Auto;2022-06-29T01:21:53.622262
469;Claim;Incendio doloso Auto;2022-10-15T01:22:12.622262
472;Claim;Incendio doloso Auto;2022-08-14T01:21:12.623335
475;Claim;Furto Auto;2022-08-16T01:22:15.623335
487;Claim;Incidente Auto;2022-02-03T01:20:21.623335
496;Claim;Incidente Auto;2022-04-11T01:20:30.625338
499;Claim;Incendio doloso Auto;2022-07-04T01:20:27.625338
511;Claim;Incidente Auto;2022-11-14T01:22:00.626334
517;Claim;Incendio doloso Casa;2022-10-06T01:21:02.626334
520;Claim;Incendio doloso Auto;2022-12-25T01:22:54.626334
526;Claim;Incendio doloso Casa;2022-04-29T01:21:52.627335
529;Claim;Furto Auto;2022-02-17T01:19:34.627335
532;Claim;Incidente Auto;2022-04-23T01:19:24.627335
541;Claim;Incendio doloso Casa;2022-06-11T01:17:34.628340
550;Claim;Furto in Casa;2022-08-06T01:23:11.628340
571;Claim;Furto Auto;2022-11-28T01:20:15.630336
574;Claim;Incidente Auto;2022-02-03T01:20:17.630336
577;Claim;Furto Auto;2022-07-03T01:22:09.630336
580;Claim;Furto Auto;2022-10-18T01:21:42.630336
586;Claim;Furto Auto;2022-06-08T01:19:11.630336
592;Claim;Incendio doloso Casa;2022-03-23T01:23:00.633665
604;Claim;Furto Auto;2022-07-22T01:20:09.633665
619;Claim;Incendio doloso Auto;2022-04-21T01:17:41.633665
622;Claim;Incidente Auto;2022-07-02T01:20:32.633665
628;Claim;Incendio doloso Auto;2022-09-15T01:19:04.633665
634;Claim;Furto Auto;2022-09-14T01:22:23.634674
640;Claim;Incendio doloso Auto;2022-05-07T01:20:30.634674
643;Claim;Furto Auto;2023-01-07T01:18:13.634674
646;Claim;Furto Auto;2022-03-06T01:22:59.634674
652;Claim;Furto in Casa;2022-04-13T01:18:35.634674
658;Claim;Incendio doloso Auto;2022-05-22T01:20:06.634674
670;Claim;Incendio doloso Auto;2022-05-05T01:17:34.634674
673;Claim;Incendio doloso Auto;2022-09-22T01:22:47.634674
682;Claim;Incendio doloso Casa;2022-02-06T01:23:13.634674
685;Claim;Incendio doloso Auto;2022-02-15T01:20:35.634674
688;Claim;Incendio doloso Auto;2022-12-25T01:17:47.634674
691;Claim;Incidente Auto;2022-04-16T01:21:42.634674
700;Claim;Incendio doloso Casa;2022-07-28T01:19:01.635673
703;Claim;Furto in Casa;2022-11-03T01:19:53.635673
709;Claim;Incidente Auto;2023-01-02T01:18:08.635673
712;Claim;Incidente Auto;2022-08-02T01:19:16.635673
721;Claim;Incidente Auto;2023-01-26T01:19:13.635673
724;Claim;Incidente Auto;2023-01-22T01:20:46.635673
730;Claim;Incendio doloso Casa;2022-11-05T01:21:31.636190
736;Claim;Incendio doloso Casa;2022-05-14T01:21:11.636190
739;Claim;Incendio doloso Auto;2022-03-10T01:23:03.636190
742;Claim;Furto Auto;2022-11-15T01:21:39.636190
751;Claim;Furto Auto;2022-10-01T01:18:54.636723
760;Claim;Incendio doloso Auto;2022-02-06T01:22:08.636723
766;Claim;Furto in Casa;2022-10-21T01:20:24.636723
769;Claim;Furto Auto;2022-06-16T01:18:31.637252
775;Claim;Furto Auto;2022-02-18T01:18:17.637252
778;Claim;Incendio doloso Auto;2022-09-16T01:20:39.637252
781;Claim;Furto Auto;2022-12-01T01:22:41.637252
784;Claim;Furto Auto;2022-04-04T01:18:19.637252
787;Claim;Incendio doloso Casa;2022-06-19T01:23:19.637252
