type;:LABEL;open_date;:ID;closed_date
Incendio doloso Casa;Claim;2022-11-15T20:37:09.149603;877;
Incendio doloso Casa;Claim;2022-02-20T20:34:06.149603;880;
Furto in Casa;Claim;2022-09-18T20:33:18.150602;883;2022-09-23T20:41:17.150602
Incendio doloso Casa;Claim;2022-11-28T20:35:09.150602;886;
Furto in Casa;Claim;2022-09-03T20:35:07.151108;889;
Furto in Casa;Claim;2022-09-20T20:35:46.152115;892;2022-09-25T20:41:50.152115
Incendio doloso Auto;Claim;2022-06-22T20:34:44.152115;895;
Furto Auto;Claim;2022-10-22T20:35:05.152115;898;
Incendio doloso Auto;Claim;2022-12-09T20:37:11.153118;901;2022-12-14T20:45:55.153118
Incendio doloso Auto;Claim;2022-06-14T20:35:42.154117;904;
Incendio doloso Auto;Claim;2022-11-02T20:37:16.154117;907;2022-11-07T20:43:53.154117
Incendio doloso Casa;Claim;2022-09-09T20:34:47.154117;910;
Incidente Auto;Claim;2022-04-24T20:33:33.154117;913;
Incendio doloso Casa;Claim;2022-08-18T20:32:54.154117;916;2022-08-23T20:42:43.154117
Furto Auto;Claim;2022-07-08T20:34:09.156115;919;
Incidente Auto;Claim;2022-05-18T20:35:03.156115;922;2022-05-23T20:41:41.156115
Incendio doloso Casa;Claim;2022-08-30T20:36:19.156115;925;
Incendio doloso Auto;Claim;2022-05-07T20:32:15.156115;928;2022-05-12T20:41:13.156115
Incidente Auto;Claim;2022-10-29T20:37:02.156115;931;
Incendio doloso Casa;Claim;2023-01-03T20:32:47.157117;934;2023-01-08T20:39:35.157117
Incendio doloso Casa;Claim;2022-10-24T20:33:51.158115;937;
Furto in Casa;Claim;2022-07-06T20:35:51.158115;940;2022-07-11T20:42:56.158115
Furto Auto;Claim;2022-11-11T20:36:09.158115;943;2022-11-16T20:46:44.158115
Incendio doloso Auto;Claim;2022-10-04T20:36:22.158115;946;
Incendio doloso Casa;Claim;2022-05-14T20:36:03.158115;949;
Incendio doloso Auto;Claim;2022-09-24T20:36:51.158115;952;2022-09-29T20:42:27.158115
Incidente Auto;Claim;2022-05-21T20:37:06.158115;955;
Incidente Auto;Claim;2022-01-25T20:37:31.159167;958;
Furto Auto;Claim;2022-02-01T20:34:13.159167;961;2022-02-06T20:42:40.159167
Incidente Auto;Claim;2022-02-02T20:32:14.160675;964;
Furto Auto;Claim;2022-06-09T20:35:38.160675;967;
Incidente Auto;Claim;2022-09-28T20:33:37.160675;970;
Furto Auto;Claim;2022-12-05T20:32:32.160675;973;
Furto in Casa;Claim;2022-02-04T20:35:57.160675;976;2022-02-09T20:43:31.160675
Furto in Casa;Claim;2022-08-20T20:32:31.160675;979;
Furto in Casa;Claim;2022-12-21T20:36:25.162688;982;
Incidente Auto;Claim;2023-01-06T20:36:59.162688;985;
Furto in Casa;Claim;2022-03-05T20:32:37.162688;988;
Incendio doloso Casa;Claim;2022-05-14T20:32:32.162688;991;2022-05-19T20:42:05.162688
Incidente Auto;Claim;2022-02-07T20:37:01.162688;994;2022-02-12T20:42:26.162688
Furto in Casa;Claim;2022-09-06T20:36:02.162688;997;
